Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
WASP-72,F7,6250,2.18,2.78,0.724,4.09,3.2
WASP-73,F9,6030,2.55,2.52,0.795,3.93,4.3
WASP-74,F9,5990,1.42,0.98,0.4,4.39,3.7
WASP-75,F9,6100,1.26,1.14,0.304,4.29,3.5
WASP-76,F7,6250,1.73,1.46,0.689,4.13,5.3
WASP-77 A,G8 V,5617,0.91,0.9,-0.129,4.48,6.2
WASP-78,,6100,2.46,1.87,0.763,4.1,2.8
WASP-79,,6600,1.6,1.43,0.664,4.2,1.4
WASP-80,K7-M0 V,4143,0.59,0.58,-1.04,4.66,7
WASP-81,,5870,1.28,1.08,0.246,4.26,
WASP-82,F5,6480,2.1,1.48,0.794,3.96,
WASP-83,G8,5510,1.05,1.11,-0.05,4.44,5
WASP-84,K0,5314,0.75,0.84,-0.325,4.4,1
WASP-85 A,G5 V,6112,0.94,1.09,-0.071,4.5,
WASP-87,,6450,1.63,1.2,0.537,4.08,
WASP-88,F6,6430,1.8,0.94,0.724,3.96,3
WASP-89,K3,5130,0.88,0.92,-0.343,4.52,1.3
WASP-90,F6,6430,1.98,1.55,0.63,4.03,4.4
WASP-91,K3,4920,0.86,0.84,-0.383,4.3,
WASP-92,F7,6280,1.34,1.19,0.275,4.26,2.29
WASP-93,F4,6700,1.52,1.33,0.618,4.2,0.7
WASP-94 A,F8,6170,1.48,1.67,0.51,4.27,2.7
WASP-94 B,F9,6040,1.35,1.24,0.351,4.26,4
WASP-95,G2,5830,1.23,1.46,0.178,4.36,2.4
WASP-96,G8,5540,1.05,1.06,0.032,4.42,8
WASP-97,G5,5640,1.08,1.18,0.071,4.45,4.8
WASP-98,G7,5473,0.74,0.81,-0.358,4.61,2.7
WASP-99,F8,6150,1.64,1.21,0.543,4.3,3
WD 0806-661,DQ,9552,,0.62,,,2.1
WD 1856+534,,4710,0.01,0.52,-4.12,7.92,7.93
WISEP J121756.91+162640.2 A,T8.5,575,0.09,0.03,-6.09,5,6
WTS-1,F6 V,6250,1.15,1.2,0.088,4.4,2.55
WTS-2,K2 V,5000,0.75,0.82,-0.288,4.6,0.6
Wendelstein-1,K7 V,4251,0.61,0.65,-0.938,4.55,
Wendelstein-2,K6 V,4591,0.66,0.73,-0.834,4.53,
Wolf 1069,M5.0 V,3158,0.18,0.17,-2.531,4.93,
Wolf 503,K3.5 V,4716,0.69,0.69,-0.676,4.62,11
XO-1,G1 V,5750,0.88,0.88,-0.086,4.51,0.9
XO-2 N,K0 V,5340,0.99,0.97,-0.088,4.43,7.8
XO-3,F5V,6429,1.54,0.58,0.706,3.95,2.82
XO-4,F5 V,6397,1.45,1.1,0.536,4.18,2.1
XO-5,G8 V,5430,1.13,1.04,-0.06,4.35,8.5
